latitude,longitude
49.24965,-123.07027
49.26716,-123.17653
49.26731,-123.06909
49.27843,-123.12901
49.26596,-123.06844
49.28478,-123.1192
49.26889,-123.18543
49.26719,-123.10982
49.28279,-123.1222
49.27859,-123.11993
49.27627,-123.10013
49.28247,-123.13068
49.284,-123.11432
49.25808,-123.07538
49.27932,-123.12911
49.24871,-123.09646
49.26026,-123.20135
49.23968,-123.16762
49.26964,-123.11064
49.28164,-123.11006
49.29014,-123.12716
49.24882,-123.09121
49.29101,-123.14085
49.27383,-123.15362
49.259355585297335,-123.06131358343916
49.24001,-123.08278
49.25259,-123.09292
49.25225,-123.10756
49.28167,-123.10984
49.26548,-123.14579
49.24778,-123.09867
49.27781,-123.10637
49.24489,-123.10302
49.2585,-123.11479
49.27866,-123.08627
49.26772,-123.0975
49.28216,-123.12438
49.27915,-123.10642
49.26861,-123.06666
49.289572744151286,-123.13735652751977
49.26,-123.10807
49.263252,-123.164825
49.26263,-123.11627
49.28519,-123.09872
49.26057,-123.15881
49.26715,-123.15325
49.2753,-123.14721
49.28005,-123.11659
49.23573,-123.10819
49.27393,-123.11599
49.24976,-123.03547
49.2655,-123.0969
49.24958,-123.0359
49.26199,-123.07408
49.25972,-123.14269
49.26597,-123.15633
49.28514,-123.12275
49.2773,-123.12294
49.26992,-123.18596
49.25999706549264,-123.141665579145
49.27228,-123.06946
49.23792,-123.18224
49.239,-123.08606
49.28298,-123.12339
49.23748,-123.08735
49.27449,-123.11679
49.27075,-123.1541
49.26254,-123.13054
49.25877,-123.08299
49.24704,-123.09809
49.21083,-123.04264
49.28507,-123.05247
49.25865,-123.12294
49.25222,-123.1186
49.2883,-123.04216
49.28545,-123.06435
49.28044,-123.12496
49.28169,-123.12628
49.27109,-123.2088
49.24801,-123.1883
49.27512,-123.15131
49.26523149806469,-123.03565216064453
49.26872,-123.15201
49.26536,-123.09943
49.27992,-123.12658
49.25665,-123.10039
49.27293,-123.12547
49.28247,-123.10342
49.28945,-123.12665
49.27795,-123.11734
49.29314,-123.13535
49.247898,-123.082802
49.26338,-123.18966
49.28884,-123.13288
49.28748,-123.1289
49.27629,-123.09888
49.28006,-123.05409
49.2796,-123.12152
49.27959,-123.10851
49.26682,-123.15312
49.2669,-123.18107
49.27622,-123.12585
49.28363,-123.11777
49.27511,-123.12679
49.26731,-123.09774
49.24187,-123.03668
49.26366,-123.18138
49.2785,-123.05217
49.26802,-123.07374
49.2839,-123.10111
49.27914,-123.12016
49.24348,-123.03844
49.22975,-123.09291
49.2498,-123.10378
49.28875,-123.12417
49.28886,-123.12616
49.27359,-123.10051
49.2782,-123.10575
49.28719,-123.12856
49.27197,-123.17999
49.29004,-123.12665
49.27899,-123.12156
49.28488,-123.02993
49.26769548861046,-123.15297966446786
49.23656,-123.02782
49.26215,-123.1803
49.27402,-123.054
49.28374,-123.12267
49.27523,-123.1524
49.23322,-123.02764
49.26867,-123.16656
49.24559,-123.04974
49.25782,-123.20131
49.27928,-123.07949
49.27021,-123.03816
49.27656,-123.11813
49.29169,-123.05097
49.27198,-123.0681
49.24389,-123.0485
49.27514,-123.12373
49.27166,-123.06616
49.27412,-123.07405
49.26013,-123.1891
49.26874,-123.14562
49.26268,-123.14881
49.2493,-123.10796
49.25725,-123.08369
49.28873,-123.12582
49.2357,-123.10428
49.26998,-123.06769
49.2852,-123.13391
49.26037,-123.10503
49.2649,-123.16641
49.28169,-123.11802
49.29236,-123.13936
49.25886,-123.10898
49.27399,-123.12399
49.27214050292969,-123.07052612304688
49.28063,-123.12652
49.27949,-123.10711
49.22539,-123.17667
49.27585,-123.06803
49.22826,-123.03193
49.27429,-123.12966
49.28409,-123.12462
49.28109,-123.10671
49.28675,-123.04766
49.27911,-123.10949
49.27707,-123.11507
49.2669,-123.16656
49.27334,-123.12764
49.25595,-123.07807
49.23695,-123.03251
49.26184,-123.14763
49.27351,-123.15035
49.27403,-123.09921
49.27487,-123.14964
49.27315,-123.16093
49.26137,-123.16982
49.26424,-123.20055
49.27186,-123.10121
49.26041,-123.09035
49.2346,-123.02652
49.28111,-123.07293
49.25107,-123.1025
49.26329,-123.18427
49.24808,-123.03588
49.24869,-123.03572
49.24961,-123.03755
49.27469,-123.13217
49.25365,-123.08689
49.25244,-123.0623
49.27147,-123.12661
49.24027,-123.10221
49.261467,-123.082291
49.27517,-123.06581
49.26616,-123.12985
49.24531,-123.09533
49.25965,-123.20512
49.27948,-123.10862
49.27993,-123.1263
49.28165,-123.12841
49.27508,-123.12388
49.27814,-123.12948
49.27763,-123.12007
49.2644,-123.09873
49.25872,-123.12185
49.28045,-123.10871
49.28287,-123.09425
49.27841,-123.10815
49.2827,-123.1241
49.27638,-123.12394
49.25853,-123.08005
49.24731,-123.08777
49.287139892578125,-123.12576293945312
49.24243,-123.04059
49.27105,-123.18246
49.27832,-123.12109
49.27549,-123.06406
49.24942,-123.12413
49.27899,-123.11768
49.26914,-123.05684
49.27694,-123.06243
49.28722,-123.12588
49.27213668823242,-123.07023620605469
49.27851,-123.09941
49.28512,-123.05801
49.28084,-123.12598
49.24554,-123.05089
49.28669,-123.06221
49.28941,-123.12908
49.27675,-123.06537
49.27555,-123.11307
49.27818,-123.13048
49.27572,-123.06039
49.26442,-123.19224
49.24506,-123.09533
49.25679,-123.07926
49.26649,-123.12179
49.26407,-123.03992
49.27809,-123.12919
49.27912,-123.12066
49.26071,-123.09265
49.25076,-123.10873
49.27729,-123.11603
49.2716,-123.06175
49.26624,-123.04491
49.27942,-123.13355
49.24373,-123.04979
49.28038,-123.02865
49.28113,-123.10764
49.29241,-123.13471
49.26742,-123.0665
49.26644,-123.08922
49.27177,-123.06063
49.27806,-123.13061
49.25472,-123.03387
49.27551,-123.12431
49.26049,-123.17747
49.28695,-123.12654
49.2668,-123.15955
49.2482,-123.09623
49.24197,-123.10083
49.28945,-123.12525
49.27853,-123.09265
49.27878,-123.11624
49.26408,-123.12831
49.27954,-123.0919
49.23443,-123.10683
49.2439,-123.08738
49.2539,-123.17975
49.25138,-123.11911
49.27809,-123.13456
49.22347,-123.14169
49.26484,-123.09867
49.217,-123.09479
49.28373,-123.13267
49.22261,-123.10396
49.22609,-123.16761
49.24631,-123.08651
49.28122,-123.02748
49.28053,-123.02698
49.2308,-123.07286
49.27832,-123.12194
49.23738,-123.06686
49.26746,-123.12785
49.22013,-123.09624
49.25558,-123.11997
49.26686,-123.09706
49.2749372597153,-123.10012229593565
49.2559,-123.18094
49.27749,-123.12297
49.26276,-123.14645
49.26405,-123.18769
49.2524,-123.10314
49.272483825683594,-123.06219482421875
49.25031,-123.1205
49.26595,-123.09794
49.2661,-123.1833
49.267,-123.0996
49.28185,-123.10456
49.27576,-123.06508
49.26023,-123.08671
49.22239,-123.03277
49.28043,-123.10787
49.28062,-123.10494
49.25979,-123.11194
49.26634,-123.09807
49.27667,-123.12752
49.26984,-123.17918
49.21311,-123.11348
49.28253,-123.0918
49.26443,-123.09925
49.26559,-123.14014
49.25211,-123.03292
49.25101,-123.03313
49.24672,-123.09614
49.27656,-123.13123
49.27991,-123.1054
49.21306,-123.11307
49.21295,-123.11193
49.21231,-123.11193
49.21121,-123.11208
49.21285,-123.11361
49.26149,-123.1309
49.2792118,-123.1214803
49.27783,-123.11536
49.2779,-123.12062
49.26339,-123.08925
49.27669,-123.12913
49.27862,-123.09962
49.25243,-123.0691
49.23191,-123.09369
49.27483,-123.11601
49.24963,-123.07277
49.23062,-123.03803
49.28311,-123.13196
49.27604,-123.0988
49.27465,-123.15155
49.27805,-123.12536
49.267456,-123.153473
49.2787,-123.12915
49.25368,-123.09956
49.2688,-123.18376
49.26377,-123.05951
49.28091,-123.11861
49.28067,-123.13746
49.27662,-123.096
49.2732,-123.12485
49.26464,-123.0651
49.25904,-123.12737
49.26132,-123.08084
49.2785,-123.10929
49.27913,-123.03185
49.27895,-123.12466
49.24796,-123.09164
49.27743,-123.10022
49.22846,-123.09686
49.25203,-123.08339
49.2678,-123.16855
49.24984,-123.11016
49.27545,-123.15314
49.25945,-123.09143
49.25568,-123.11845
49.26304,-123.09238
49.28,-123.03955
49.28033,-123.1008
49.21915,-123.10273
49.2804,-123.13603
49.27371,-123.05007
49.28295,-123.12323
49.24794,-123.08124
49.26023,-123.09239
49.21929,-123.07629
49.27098,-123.16064
49.28959,-123.05161
49.26672,-123.16668
49.24738,-123.10184
49.25716,-123.0724
49.27889204713686,-123.10952582395237
49.27377,-123.14986
49.28143,-123.1256
49.26346,-123.0526
49.28003,-123.06204
49.27546,-123.12481
49.26587,-123.0999
49.27752,-123.11993
49.28377,-123.1061
49.2674,-123.15509
49.26682,-123.16654
49.28198,-123.1112
49.25614,-123.11331
49.28404,-123.12386
49.27924,-123.10711
49.27782,-123.12991
49.24289,-123.11954
49.27269,-123.15382
49.28668,-123.13599
49.25291,-123.11915
49.27523,-123.12912
49.28301,-123.12357
49.20777,-123.14613
49.26545,-123.14055
49.24354,-123.07279
49.27036,-123.06444
49.25779,-123.1951
49.28593,-123.11571
49.28196,-123.10734
49.28037,-123.10059
49.27912,-123.10065
49.27462,-123.12576
49.25315,-123.17653
49.2691,-123.10345
49.29236,-123.13609
49.25319,-123.03326
49.27214050292969,-123.0706558227539
49.2666,-123.09449
49.27223,-123.06423
49.25747,-123.07134
49.26823,-123.16443
49.27779,-123.08743
49.25919,-123.16995
49.27431,-123.15094
49.2477,-123.11188
49.26107,-123.11587
49.24781,-123.06591
49.28024,-123.04351
49.24569,-123.06533
49.24616,-123.0657
49.27864,-123.11727
49.26907,-123.17436
49.26671,-123.10018
49.27928,-123.1249
49.24719,-123.06355
49.26,-123.11831
49.24992,-123.10578
49.27922,-123.12049
49.27539,-123.13316
49.26999,-123.16867
49.27017,-123.20673
49.24394521133688,-123.08003079146147
49.26045,-123.16306
49.27046,-123.1572
49.28021,-123.06581
49.22312,-123.0865
49.28641,-123.11897
49.28622,-123.119
49.27858,-123.12091
49.28256,-123.12658
49.27235,-123.16137
49.28598,-123.12267
49.2495,-123.08574
49.25926,-123.08486
49.27648,-123.04172
49.28692,-123.12493
49.28636,-123.12052
49.28295,-123.10105
49.25291,-123.08406
49.26448,-123.12735
49.28252,-123.12331
49.24887,-123.18715
49.26945,-123.15291
49.28612,-123.05247
49.27049,-123.16668
49.20976,-123.12767
49.26567,-123.13877
49.2758,-123.05482
49.26274,-123.12739
49.28188,-123.10724
49.25859,-123.07775
49.26727,-123.14131
49.26367,-123.15108
49.25394,-123.10394
49.27936,-123.12572
49.29025,-123.13413
49.2153,-123.14121
49.2673,-123.15818
49.27393,-123.06639
49.24008,-123.10189
49.21658,-123.10693
49.25348,-123.12639
49.21037,-123.11773
49.24067,-123.10254
49.28374,-123.10238
49.24931,-123.09618
49.28131,-123.13669
49.21434,-123.13249
49.27488,-123.11524
49.27011,-123.14099
49.26098,-123.07341
49.27654,-123.12541
49.28125,-123.12762
49.27754,-123.12414
49.25061,-123.11302
49.27894,-123.10754
49.27461,-123.06452
49.27919,-123.06198
49.25977,-123.05534
49.2585,-123.10986
49.26493,-123.06927
49.23124,-123.09689
49.278938,-123.107872
49.27927,-123.1165
49.27781,-123.12976
49.24255,-123.15148
49.24975,-123.10195
49.25456,-123.03492
49.24775,-123.16692
49.27493,-123.09964
49.26158,-123.08473
49.26952,-123.06592
49.28235,-123.13587
49.290596,-123.137802
49.28057,-123.11402
49.27964,-123.10663
49.2203,-123.03021
49.25814,-123.07511
49.27562,-123.06066
49.27995,-123.10903
49.28378,-123.10877
49.27216,-123.20664
49.26077,-123.18099
49.25976,-123.06033
49.27669,-123.05378
49.24032,-123.06304
49.27975,-123.11984
49.26686,-123.14629
49.27765,-123.13088
49.28262,-123.1168
49.26894,-123.10337
49.2611,-123.11037
49.27971,-123.11618
49.26566,-123.07181
49.27968,-123.1088
49.27391,-123.10143
49.25996,-123.09479
49.26399259999999,-123.0820291
49.28087,-123.12677
49.26415,-123.15793
49.27823,-123.13062
49.28801,-123.12491
49.24141,-123.03011
49.25432,-123.12369
49.28894,-123.1336
49.25693,-123.11179
49.25898,-123.11866
49.28953,-123.04178
49.21343,-123.11357
49.25618,-123.19529
49.26049,-123.07481
49.27791,-123.12252
49.28353,-123.11524
49.21684,-123.07936
49.27387,-123.06649
49.26693474304431,-123.0667227555423
49.24524,-123.07961
49.27363,-123.06443
49.27238,-123.06842
49.27683,-123.11942
49.21769,-123.09191
49.28054,-123.06184
49.28043,-123.10105
49.27904,-123.09246
49.22624,-123.1027
49.26196,-123.05811
49.23108,-123.02945
49.27539,-123.10009
49.2133261,-123.0992998
49.27729,-123.08774
49.26631,-123.07082
49.27671,-123.09865
49.25442,-123.12548
49.23942,-123.07083
49.25423,-123.08951
49.27524,-123.07223
49.23575,-123.0271
49.2697,-123.10152
49.25758,-123.06673
49.2715928,-123.1610614
49.23913,-123.08451
49.26716317163536,-123.09802723448364
49.26192,-123.21326
49.24743,-123.09525
49.25332,-123.12309
49.261,-123.0761
49.27618,-123.12744
49.27497,-123.11716
49.22051,-123.0856
49.26446,-123.18001
49.2784,-123.12063
49.24911,-123.07706
49.28073,-123.12535
49.21255,-123.0574
49.21121,-123.05598
49.2614,-123.15827
49.28109,-123.11987
49.28226,-123.1192
49.2593,-123.05971
49.25215,-123.07674
49.21586,-123.12532
49.26612,-123.03956
49.26605,-123.15106
49.25938,-123.10424
49.27775,-123.12325
49.26774,-123.17773
49.26643,-123.05809
49.27369,-123.06303
49.25113,-123.11466
49.25377,-123.04513
49.27926,-123.08715
49.25489,-123.07461
49.21308,-123.05564
49.26531,-123.16218
49.27775,-123.11741
49.23582,-123.12859
49.26174,-123.04726
49.26143,-123.10964
49.26065,-123.09872
49.27947,-123.11835
49.28009,-123.12695
49.25175,-123.11925
49.27952,-123.12024
49.28012,-123.11419
49.27629,-123.12508
49.28484,-123.11437
49.2543,-123.19622
49.26321,-123.16329
49.25117,-123.05318
49.279205,-123.117622
49.26346,-123.16109
49.2849,-123.11725
49.2775,-123.13086
49.26244,-123.15148
49.274548,-123.127823
49.28161,-123.10181
49.27017,-123.15711
49.27652,-123.11044
49.24566,-123.16614
49.25126,-123.03277
49.28876,-123.12354
49.23306,-123.18078
49.27165,-123.15073
49.25072,-123.11681
49.2878,-123.12423
49.25731,-123.06776
49.26793,-123.16231
49.27737,-123.12369
49.28536,-123.11279
49.28457,-123.04419
49.28638,-123.02704
49.28056,-123.12523
49.28561,-123.13237
49.26594,-123.10085
49.24014,-123.0887
49.23775,-123.11017
49.27476,-123.12499
49.26011,-123.16452
49.27525,-123.14821
49.27905,-123.11948
49.265835,-123.100838
49.28168,-123.06178
49.27857,-123.12299
49.25721,-123.07373
49.28186,-123.10771
49.20686,-123.04706
49.27821,-123.13297
49.25662,-123.12287
49.24467,-123.09792
49.24415,-123.0496
49.27985,-123.05817
49.25789,-123.09123
49.26041,-123.16441
49.2826,-123.10708
49.27994,-123.10781
49.23073,-123.0577
49.25905,-123.19141
49.27716,-123.12927
49.27995,-123.10707
49.27691,-123.12603
49.25649,-123.19513
49.2792118,-123.1214803
49.25291,-123.08392
49.25855,-123.07922
49.27868,-123.10706
49.28087,-123.12549
49.23653,-123.07922
49.28464,-123.12435
49.27944,-123.09981
49.27937,-123.10681
49.27796,-123.10868
49.23953,-123.08824
49.28807,-123.12398
49.28566,-123.05355
49.25569,-123.12535
49.2669,-123.18265
49.25306,-123.07141
49.28441,-123.12249
49.27045,-123.14534
49.21622,-123.10308
49.25504,-123.08632
49.24558,-123.10589
49.26678,-123.18156
49.21398,-123.13225
49.28979,-123.12419
49.279255647245066,-123.0880571660931
49.26567,-123.1211
49.25744,-123.10509
49.28716,-123.12709
49.27951,-123.11818
49.29021,-123.05265
49.23522,-123.07804
49.26891,-123.18143
49.23711,-123.07616
49.27626,-123.11505
49.27295,-123.07359
49.28047561645508,-123.09878540039062
49.27486,-123.11602
49.28729248046875,-123.12388610839844
49.28249,-123.1243
49.2922,-123.14128
49.26681,-123.09716
49.28455,-123.10707
49.26359,-123.03654
49.23012,-123.14419
49.23134,-123.14207
49.23063,-123.14413
49.27704,-123.12395
49.25158,-123.07801
49.28709,-123.13615
49.28029,-123.12526
49.2688,-123.05555
49.2662,-123.17177
49.2118,-123.11181
49.27929,-123.13063
49.23166,-123.14237
49.2394,-123.08998
49.26409,-123.1005
49.26153,-123.13439
49.26504,-123.18525
49.28035,-123.12505
49.26419,-123.07647
49.26563,-123.04365
49.27289,-123.07405
49.25354,-123.09635
49.27595,-123.12579
49.26787,-123.0652
49.27756,-123.12097
49.27953,-123.12046
49.26725,-123.11024
49.23182,-123.14243
49.26308,-123.17923
49.2772,-123.102
49.27381,-123.20692
49.26252,-123.18165
49.27665,-123.1208
